Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
08/05/2015,Debt collection,Auto,Communication tactics,Frequent or repeated calls,,Company believes it acted appropriately as authorized by contract or law,"Byrider Franchising, LLC",PA,15024,,N/A,Referral,08/14/2015,Closed with explanation,Yes,No,1504167
08/05/2015,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt resulted from identity theft,"This debt was from my identity being stolen I didnt open any account that resulted in this collection i have completed a police report which can be verified with the XXXX police @ XXXX report # XXXX and i have a notarized identity theft affidavit from ftc please remove this off of my credit and close my file ASAP 
",Company chooses not to provide a public response,"FAIR COLLECTIONS & OUTSOURCING, INC.",MD,207XX,,Consent provided,Web,08/05/2015,Closed with explanation,Yes,Yes,1504862
08/10/2015,Credit card,,Billing disputes,,,,Synchrony Financial,CA,94546,,N/A,Phone,08/11/2015,Closed with explanation,Yes,No,1511662
07/31/2015,Credit reporting,,Incorrect information on credit report,Personal information,,Company chooses not to provide a public response,"TransUnion Intermediate Holdings, Inc.",CA,92376,,Consent not provided,Web,07/31/2015,Closed with non-monetary relief,Yes,No,1497014
07/28/2015,Debt collection,I do not know,Communication tactics,Threatened to take legal action,"they would change their voice, and say they have a case against me and they going to take me to court.. different people keep calling from different numbers. last this last person name XXXX call and said that she was going to contact my job.I told her that she have to send me some info and she said that they dont. 
",Company believes complaint represents an opportunity for improvement to better serve consumers,"Genuine Debt Solutions, LLC.",NJ,071XX,,Consent provided,Web,08/04/2015,Closed with explanation,Yes,No,1491302
08/10/2015,Prepaid card,General purpose card,Unauthorized transactions/trans. issues,,,Company chooses not to provide a public response,U.S. Bancorp,NY,11415,,Consent not provided,Web,08/17/2015,Closed with monetary relief,Yes,No,1511669
08/10/2015,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,WI,53218,,Consent not provided,Web,08/10/2015,Closed with explanation,Yes,Yes,1511671
08/10/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,"I do n't owe any money to XXXX for XXXX {$.00} this information is not accrete please take this out from my Credit Score ASAP Thanks 
",,Equifax,WA,982XX,,Consent provided,Web,08/11/2015,Closed with explanation,Yes,No,1511926
07/28/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Taking/threatening an illegal action,Sued w/o proper notification of suit,"I have received several calls to collect a debt. I would be fine paying the bill if the person on the other line had n't called me offensive names and threatened to sue me. When asked to speak with her supervisor she has been belligerent and rude. I am uncomfortable receiving calls from this company. They have called me several times a day for the last three weeks. 
",Company believes complaint caused principally by actions of third party outside the control or direction of the company,TCF National Bank,MN,554XX,,Consent provided,Web,07/28/2015,Closed with explanation,Yes,No,1489945
07/28/2015,Credit card,,Late fee,,,,Capital One,PA,18020,Older American,Consent not provided,Web,07/28/2015,Closed with monetary relief,Yes,No,1491293
08/10/2015,Credit card,,Other,,"Since going on medical leave and unable to keep up with payments, have been getting robocalls from XXXX different numbers at least XXXX times per day, from both numbers, which amounts to up to XXXX calls per day including weekends beginning at XXXX Also have been getting emails about once a week. When attempting to answer the emails, they are 'donotreply ', and must go to website. I find these practices offensive and would like to simply answer an email. This is the first and only default on this account, and have been discouraged from answering in writing and being bombarded from calls almost every XXXX minutes on a daily basis, from XXXX creditor. 
",,Synchrony Financial,NY,103XX,,Consent provided,Web,08/10/2015,Closed with non-monetary relief,Yes,No,1511673
08/10/2015,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,Company chooses not to provide a public response,Wells Fargo & Company,OR,970XX,,Other,Web,08/10/2015,Closed with explanation,Yes,Yes,1511677
08/10/2015,Debt collection,I do not know,Improper contact or sharing of info,Talked to a third party about my debt,"I received a call from XXXX XXXX of XXXX. They left a voicemail on my phone as well as my ex wife. 

"" I have official documents being delivered to XXXX XXXX XXXX XXXX ... Sine your social security number has been attached to the documents under federal law we are unable to deliver at that address verification. You must contact the original firm at XXXX Ref XXXX '' I have not lived at that address since 2006. The blocked the number they called from and then called my ex wife and left the same message. They do not identify themselves as a debt collector. When I called they refused to give me any information about the debt or their address. 
",Company believes the complaint is the result of a misunderstanding,"Coastline Financial Resources, LLC",TX,761XX,,Consent provided,Web,08/19/2015,Closed with explanation,Yes,Yes,1511681
08/05/2015,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt resulted from identity theft,"This debt was from my identity being stolen I didnt open any account that resulted in this collection i have completed a police report which can be verified with the XXXX police @ XXXX report # XXXX and i have a notarized identity theft affidavit from ftc please remove this off of my credit and close my file ASAP 
",Company believes it acted appropriately as authorized by contract or law,Navy FCU,MD,207XX,,Consent provided,Web,08/05/2015,Closed with non-monetary relief,Yes,No,1504863
08/10/2015,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,"Our client XXXX ( XXXX ) XXXX applied for a short sale through Nationstar in XXXX of 2014. We have had XXXX offers to present to them since the beginning. Instead of reviewing and submitting offers to the investor they continuously put the home on an Auction website called XXXX to solicit for other offers. This is a scam for Nationstar to continue to milk the servicing of this loan and eventually foreclose. They have not received any better or higher offers and they have scared away every buyer we have had by asking them to pay the full offered price plus 5 % on top for a service no one wants to use. Why would a Buyer we have already procured go and bid on a home and pay more for the house? Whats ends up happening is they offer less to make up the difference in the cost. In addition XXXX sets the opening bids low and congratulatesBuyers when they "" win '' the Auction. Then the bank turns around and tell us the bid was too low and the investor rejected the offer. We asked that they stop this useless practice and look at the offer at hand, they refuse. They have been sued in the past by other parties because of their fraudulent practices and we are asking that you reach out to them and request they take this matter very seriously. They are wasting the sellers time, every buyer who has come along, our time and the time if their investor. Thank you for your assistance! 
",,Nationstar Mortgage,AZ,857XX,,Consent provided,Web,08/10/2015,Closed with explanation,Yes,No,1511973
08/10/2015,Mortgage,Other mortgage,"Application, originator, mortgage broker",,,Company chooses not to provide a public response,Bank of America,CA,92223,,N/A,Fax,08/12/2015,Closed with explanation,Yes,No,1511698
08/05/2015,Bank account or service,Checking account,Problems caused by my funds being low,,"I would say about 6 years ago maybe longer I messed up on a bank account XXXX for {$320.00}. I got contacted by the collection agency about 2 years ago and settled the acount to I think {$250.00} and paid it. Today I tried to open up with a credit union givin the fact I have had my bank account now in good standing for 2 years. They denied me for being in chexsystems for the account I had already paid off. I wish to have it marked as paid or settled or taken off or something becuase it is tarnishing my name. 
",Company chooses not to provide a public response,"Fidelity National Information Services, Inc. (FNIS)",NV,895XX,,Consent provided,Web,08/05/2015,Closed with explanation,Yes,No,1504196
07/28/2015,Credit card,,Other,,,Company chooses not to provide a public response,Bank of America,CA,91761,,Consent not provided,Web,07/28/2015,Closed with explanation,Yes,No,1489631
08/10/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,"I do n't owe any money to XXXX for XXXX {$.00} this information is not accrete please take this out from my Credit Score ASAP Thanks 
",Company chooses not to provide a public response,Experian,WA,982XX,,Consent provided,Web,08/11/2015,Closed with non-monetary relief,Yes,No,1511925
07/31/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"I did not know i can request an annual requested from XXXX to my dismay I then saw an entry from revenue system inc I then decided to call and inquire. I was told by a XXXX that NO RECORD FOUND he had me repeat name numerous times then transfer the call to a XXXX who is NOW XXXX who stated NO record found to read info on report and stated NO record to give phone # she will assist with credit report error. she XXXX XXXX called same day XXXX weeks a go in XXXX XXXX to say NO RECORD. I ask for the phone # of vendor, ac #, date of report and why the vendor NOR THEY NEVER wrote a LETTER to demand debt NOW UNABLE to give information an file this false report. I got NO ANSWER. She XXXX stated THIS WILL STAY ON THE REPORT I WILL NOT REMOE IT. I ASK FOR DETAIL INFOMATION AGAIN she XXXX XXXX stated if I continue to demand information I will NOT TELL YOU hung up. I then disputed the debt. 
I am in receipt of the report it stated that the DEBT is verified to be removed in XXXX XXXX. 
I then call the Revenue Systems Inc spoke again to XXXX he then acted extremely slow and asked same questions over and over again when I ask to speak to representative XXXX I was told that XXXX will call back that it is a Flood Insurance, ask for insurance co name, phone, detail of debt he REFUSE to provide. only XXXX can answer you. Upon calling back XXXX NOW stated that my husband took policy. I told her my husband died more then fourty years ago, NEVER CAME TO USA UNDER WHAT Authority SHE CAME To that CONCLUSION I WAS TOLD THAT I TOLD IT TO HER THAT HE TOOK POLICY AND HAS A LEGAL SIGNATURE ON THE DOCUMENT FOR FLOOD INSURANCE XX/XX/XXXX REQUEST AGAIN COMPANY NAME PHONE I WAS RUDELY TOLD SHE WILL NOT TELL OR GIVE ANY INFO AND IF I AM UPSET ABOUT THIS THAT IS JUST TOO BAD AND IF I CONTINUE TO ASK SHE IS GOING TO HANG UP AND THE REPORT STAYS. 
CHECK WITH FEMA I AM NOT IN A FLOOD ZONE. I AM A VICTIM OF FALE REPORTING FOR PERSONAL GAIN AND ABUSE OF FALSE REPORT WITHOUT MERIT, FAILURE TO PROVIDE EVIDENCE OR CONTACT MADE BY XXXX. PREDITORY AGENTS AND ACTED IN BAD FAITH UNDER THE FAIR CREDIT AND REPORTING ACT TO CAUSE HARM AND DENY ACCESS TO REASONABLE INSURANCE RATES WITH ANY COMPANY AND CAUSE INEBILITY TO GET CREDIT. THESE PEOPLE HAS DELIBERATELY ACTED TO CAUSED HARM TO ME. 
",Company believes it acted appropriately as authorized by contract or law,"Revenue Systems, Inc.",FL,333XX,Older American,Consent provided,Web,08/20/2015,Closed with explanation,Yes,No,1497057
07/31/2015,Debt collection,I do not know,Taking/threatening an illegal action,Threatened arrest/jail if do not pay,"The representative was attempting to link me to a debt of someone that I know. They threatened to serve me with legal documents and place me in jail. I requested that they stop calling me. I told them that I understood my rights and they had no business threatening me in order to get a different individual. They repeatedly hung up the phone. 
",,"Financial Credit Service, Inc.",SC,290XX,,Consent provided,Web,07/31/2015,Closed with explanation,Yes,No,1497061
07/31/2015,Bank account or service,Checking account,Deposits and withdrawals,,"Again, Chase Bank deducted NSF fees very late in the next morning!! My check from XXXX ( pension ) was recorded on XXXX/XXXX/2015 and when I checked at XXXX ( XXXX/XXXX/2015 ) everything was o.k. XXXX no deductions from my account ). However, when I checked again this morning ( XXXX/XXXX/2015 ) they had delayed deducting some of my checks until XXXX/XXXX/2015 and yet said that the checks were from XXXX/XXXX/XXXX, causing a NSF fee. This is, again, a rip off of customers that Chase uses as a tactic to receive millions of dollars a day unfairly from their customers! This is the 4th time that this has happened to me and the 2nd time this week. They had said a couple of weeks ago, that this illegal tactic would be rectified, but they have not either rectified ORr they are delaying rectifying this until they continue to collect millions upon millions more or they are not going to change this dirty, money grabbing tactic like they told CFPB or in a letter to me! There should be a class action suit for hundreds of millions of dollars in regards to the continuance of this dirty tactic!!! I coluld see why Chase has one of the worst records when it comes to complaints. I was originally ripped off about {$700.00} a few years ago, but I complained to an assistant manager and he proclaimed he was going to help me, but I went back several times to talk to him, but nothing ever happend and I was unfairly out of over {$700.00}. The Chase assistant manager was a big phony and did n't do a thing for me like he said he was doing! 
",,JPMorgan Chase & Co.,CA,913XX,Older American,Consent provided,Web,08/02/2015,Closed with explanation,Yes,No,1496045
08/10/2015,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,"Bayview Loan Servicing, LLC",CA,92603,,Consent not provided,Web,08/10/2015,Closed with explanation,Yes,No,1511718
08/05/2015,Credit card,,Identity theft / Fraud / Embezzlement,,"This is a fraudulent transaction and I informed Best Buy regarding these XXXX transactions. Best Buy tried to charge me a {$25.00} late fee which they waived when I explained the situation with their credit specialist. I had my Best Buy Credit card stolen along with my visa card and reported it to the merchants in question. XXXX XXXX XXXXSocial Security XXXXBEST BUY/XXXX # XXXXXXXX XXXX XXXX, SD XXXXPhone number not availableDate Opened : XXXX : Individual AccountDate Updated : XXXX Received : $ XXXX Status : Current ; Paid or Paying asAgreedReport Created On : XXXX Number : XXXX XXXX of XXXX Type : Revolving AccountLoan Type : CHARGEACCOUNTLast Payment Made : XX/XX/XXXX Terms : Paid MonthlyDate Closed : XXXX Paid : XX/XX/XXXX & gt ; Maximum Delinquency of 30 days in XXXX for {$51.00} & lt ; High Balance : High balance of {$1100.00} from XXXX to XXXX ; {$1800.00} from XXXX to XXXX Limit : Credit limit of {$3000.00} from XXXX to XXXX : ACCOUNT CLOSED BY CONSUMER ; CLOSED 
",Company chooses not to provide a public response,Citibank,NY,144XX,Older American,Consent provided,Web,08/10/2015,Closed with explanation,Yes,No,1504215
